_id,State,Constituency,Party,Candidate Name,,,,
1160,Chhattisgarh,RAIGARH,Independent,ABHAY KUMAR EKKA,,,,
1161,Chhattisgarh,RAIGARH,Sarv Adi Dal,BADAL EKKA,,,,
1162,Chhattisgarh,RAIGARH,Bahujan Samaj Party,INNOCENT KUJUR - BIDANA ORAON,,,,
1163,Chhattisgarh,RAIGARH,Independent,POOJA SIDAR,,,,
1164,Chhattisgarh,RAIGARH,Hamar Raj Party,ALBERT MING,,,,
1165,Chhattisgarh,RAIGARH,Bhartiya Shakti Chetna Party,GULESHWAR PAINKRA,,,,
1166,Chhattisgarh,RAIGARH,Gondvana Gantantra Party,MADAN PRASAD GOND,,,,
1167,Chhattisgarh,RAIGARH,Independent,RUPNARAYAN EKKA,,,,
1168,Chhattisgarh,RAIGARH,Bharatiya Janata Party,RADHESHYAM RATHIYA,,,,
1169,Chhattisgarh,RAIGARH,Independent,PRAKASH KUMAR URANW,,,,
1170,Chhattisgarh,JANJGIR-CHAMPA,Bharatiya Janata Party,KAMLESH JANGDE,,,,
1171,Chhattisgarh,JANJGIR-CHAMPA,Aazad Samaj Party (Kanshi Ram),DEEPAK KUMAR KHUNTE,,,,
1172,Chhattisgarh,JANJGIR-CHAMPA,Independent,SIMA MAHILANGE,,,,
1173,Chhattisgarh,JANJGIR-CHAMPA,Rashtriya Jansabha Party,VIJAY KUMAR KURRE,,,,
1174,Chhattisgarh,JANJGIR-CHAMPA,Hamar Raj Party,ANIL MANHAR,,,,
1175,Chhattisgarh,JANJGIR-CHAMPA,Asankhya Samaj Party,VIJAYLAXMI SURYAWANSHI NAT,,,,
1176,Chhattisgarh,JANJGIR-CHAMPA,Independent,ENGINEER REVA KURREY,,,,
1177,Chhattisgarh,JANJGIR-CHAMPA,Bahujan Samaj Party,DR. ROHIT DAHARIA,,,,
1178,Chhattisgarh,JANJGIR-CHAMPA,Shakti Sena (Bharat Desh),ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),,,,
1179,Chhattisgarh,JANJGIR-CHAMPA,Chhattisgarh Vikas Ganga Rashtriya Party,BRINDA CHAUHAN,,,,
1180,Chhattisgarh,JANJGIR-CHAMPA,Bhartiya Shakti Chetna Party,GOPAL PRASAD KHUNTE,,,,
1181,Chhattisgarh,JANJGIR-CHAMPA,Independent,ANAND GILHARE,,,,
1182,Chhattisgarh,JANJGIR-CHAMPA,Indian National Congress,DR. SHIVKUMAR DAHARIYA,,,,
1183,Chhattisgarh,JANJGIR-CHAMPA,Independent,ARVIND KUMAR,,,,
1184,Chhattisgarh,JANJGIR-CHAMPA,Azad Janata Party,JAGJIVAN RAM SATNAMI,,,,
1185,Chhattisgarh,JANJGIR-CHAMPA,Independent,MINA CHAUHAN,,,,
1186,Chhattisgarh,JANJGIR-CHAMPA,Independent,VIDYA DEVI SONI,,,,
1187,Chhattisgarh,JANJGIR-CHAMPA,Independent,AD. T.R. NIRALA,,,,
1188,Chhattisgarh,KORBA,Independent,KALYAN SINGH TANWAR,,,,
1189,Chhattisgarh,KORBA,Independent,SHIVPUJAN SINGH,,,,
1190,Chhattisgarh,KORBA,Independent,RAMESH DAS MAHANT,,,,
1191,Chhattisgarh,KORBA,Independent,NIRDOSH  KUMAR YADAV,,,,
1192,Chhattisgarh,KORBA,Independent,KAUSHALYA BAI PORTE,,,,
1193,Chhattisgarh,KORBA,Independent,AMRIKA KARPE,,,,
1194,Chhattisgarh,KORBA,Independent,SHEKH RAUF,,,,
1195,Chhattisgarh,KORBA,Independent,PURUSHOTTAM MANIKPURI,,,,
1196,Chhattisgarh,KORBA,Bhartiya Shakti Chetna Party,KAMAL DEV,,,,
1197,Chhattisgarh,KORBA,Sarv Adi Dal,PRASHANT DANIEL,,,,
1198,Chhattisgarh,KORBA,Independent,SANTOSH SHARMA,,,,
1199,Chhattisgarh,KORBA,Bhartiya Janta Secular Party,SUSHIL KUMAR VISHWAKARMA,,,,
1200,Chhattisgarh,KORBA,Independent,RAJESH PANDEY,,,,
1201,Chhattisgarh,KORBA,Gondvana Gantantra Party,SHYAM SINGH MARKAM,,,,
1202,Chhattisgarh,KORBA,Independent,DILIP MIRI,,,,
1203,Chhattisgarh,KORBA,Independent,JAICHANDRA SONPAKAR,,,,
1204,Chhattisgarh,KORBA,Independent,RAJGURU KEWAL GOSWAMI,,,,
1205,Chhattisgarh,KORBA,Independent,SHANTI BAI MARAVI,,,,
1206,Chhattisgarh,KORBA,Bharatiya Janata Party,SAROJ PANDEY,,,,
1207,Chhattisgarh,KORBA,Republican Party of India (A),PRIYANKA PATEL,,,,
1208,Chhattisgarh,KORBA,Chhattisgarh Vikas Ganga Rashtriya Party,REKHA TIWARI,,,,
1209,Chhattisgarh,KORBA,Independent,SHOBRAN SINGH SAIMA,,,,
1210,Chhattisgarh,KORBA,Independent,PALAN SINGH,,,,
1211,Chhattisgarh,KORBA,Independent,PRATAP BHANU,,,,
1212,Chhattisgarh,KORBA,Independent,MAHENDRA KUMAR SHRIWAS (MANJU),,,,
1213,Chhattisgarh,KORBA,Indian National Congress,JYOTSNA CHARANDAS MAHANT,,,,
1214,Chhattisgarh,KORBA,Bahujan Samaj Party,DUJRAM BOUDDH,,,,
1215,Chhattisgarh,BILASPUR,Rashtriya Gondvana Party,DINESH PRATAP SINGH KHUSRO NIKHIL,,,,
1216,Chhattisgarh,BILASPUR,Independent,VEDMANI SINGH KSHATRIYA (THAKUR),,,,
1217,Chhattisgarh,BILASPUR,Independent,RAMESHWAR SAHU,,,,
1218,Chhattisgarh,BILASPUR,Rashtriya Jansabha Party,SIDDHRAM LAHARE,,,,
1219,Chhattisgarh,BILASPUR,Independent,VIKRAMPRASAD JOGI,,,,
1220,Chhattisgarh,BILASPUR,Independent,KULESH KUMAR SAHU,,,,
1221,Chhattisgarh,BILASPUR,Independent,RAJKUMAR SAHU,,,,
1222,Chhattisgarh,BILASPUR,Independent,SANJAY PRAKASH SAHU,,,,
1223,Chhattisgarh,BILASPUR,Independent,KESHAV PRASAD,,,,
1224,Chhattisgarh,BILASPUR,Independent,SHEKHAR BANJARE,,,,
1225,Chhattisgarh,BILASPUR,Independent,VIJAY KUMAR,,,,
1226,Chhattisgarh,BILASPUR,Chhattisgarh Vikas Ganga Rashtriya Party,DEEPMALA CHOUHAN,,,,
1227,Chhattisgarh,BILASPUR,Independent,PARAS RAM YADAV,,,,
1228,Chhattisgarh,BILASPUR,Independent,ANILESH MISHRA (MAHARAJ),,,,
1229,Chhattisgarh,BILASPUR,Independent,KRISHNA NANDAN SINGH,,,,
1230,Chhattisgarh,BILASPUR,Independent,RAMPYARE RAI,,,,
1231,Chhattisgarh,BILASPUR,Loktantra Congress Party,SHRIKANT MALHWAYR (KASER),,,,
1232,Chhattisgarh,BILASPUR,Hamar Raj Party,SUDIEP SHRIVASTAVA,,,,
1233,Chhattisgarh,BILASPUR,Independent,RUPRAM SAHU,,,,
1234,Chhattisgarh,BILASPUR,Independent,GHANSHYAM URF SADHELAL BHARDWAJ,,,,
1235,Chhattisgarh,BILASPUR,Gondvana Gantantra Party,NAND KISHORE RAJ,,,,
1236,Chhattisgarh,BILASPUR,Independent,MAHESH KUMAR SONWANI,,,,
1237,Chhattisgarh,BILASPUR,Indian National Congress,DEVENDRA YADAV,,,,
1238,Chhattisgarh,BILASPUR,Independent,BASANT BANSL,,,,
1239,Chhattisgarh,BILASPUR,Independent,ROSHAN KUMAR,,,,
1240,Chhattisgarh,BILASPUR,Bhartiya Shakti Chetna Party,ASHAVANT SAHOO,,,,
1241,Chhattisgarh,BILASPUR,Independent,RAJENDRA KUMAR TANDAN,,,,
1242,Chhattisgarh,BILASPUR,Independent,ANAND URAWAN,,,,
1243,Chhattisgarh,BILASPUR,Independent,BHUNESHWAR MARKO,,,,
1244,Chhattisgarh,BILASPUR,Prabuddha Republican Party,BHAGWAT PATRE,,,,
1245,Chhattisgarh,BILASPUR,Shakti Sena (Bharat Desh),ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),,,,
1246,Chhattisgarh,BILASPUR,Bahujan Samaj Party,ASHWANI RAJAK,,,,
1247,Chhattisgarh,BILASPUR,Bharatiya Janata Party,TOKHAN SAHU,,,,
1248,Chhattisgarh,BILASPUR,Independent,DEV PRASAD BRAIHA,,,,
1249,Chhattisgarh,BILASPUR,Ambedkarite Party of India,YASHUTOSH LAHARE,,,,
1250,Chhattisgarh,BILASPUR,Ekam Sanatan Bharat Dal,LAKSHMAN  PATHAK,,,,
1251,Chhattisgarh,BILASPUR,Independent,SALIK RAM JOGI,,,,
1252,Chhattisgarh,RAJNANDGAON,Rashtriya Jansabha Party,LAKHAN SING TANDAN,,,,
1253,Chhattisgarh,RAJNANDGAON,Independent,SUKHDEV SINHA,,,,
1254,Chhattisgarh,RAJNANDGAON,Independent,A.H. SIDDIQUI,,,,
1255,Chhattisgarh,RAJNANDGAON,Bhartiya Shakti Chetna Party,RAMESH RAJPUT,,,,
1256,Chhattisgarh,RAJNANDGAON,Bharatiya Janata Party,SANTOSH PANDEY,,,,
1257,Chhattisgarh,RAJNANDGAON,Independent,VISHESH DHAMGAYE,,,,
1258,Chhattisgarh,RAJNANDGAON,Independent,TRIVENI PADOTI,,,,
1259,Chhattisgarh,RAJNANDGAON,Independent,BHUVAN SAHU,,,,
1260,Chhattisgarh,RAJNANDGAON,Nyaydharmsabha,RAMFAL PATIL,,,,
1261,Chhattisgarh,RAJNANDGAON,Shakti Sena (Bharat Desh),NARAD PRASAD NISHAD,,,,
1262,Chhattisgarh,RAJNANDGAON,Hamar Raj Party,LALITA KANWAR,,,,
1263,Chhattisgarh,RAJNANDGAON,Independent,ER. BASANT KUMAR MESHRAM,,,,
1264,Chhattisgarh,RAJNANDGAON,Independent,AJAY PALI,,,,
1265,Chhattisgarh,RAJNANDGAON,Bahujan Samaj Party,DEVLAL SINHA (SONVANSHI),,,,
1266,Chhattisgarh,RAJNANDGAON,Indian National Congress,BHUPESH BAGHEL,,,,
1267,Chhattisgarh,DURG,Bharatiya Janata Party,VIJAY BAGHEL,,,,
1268,Chhattisgarh,DURG,Independent,ALI HUSSAIN SIDDIQUI,,,,
1269,Chhattisgarh,DURG,Independent,HARICHAND THAKUR,,,,
1270,Chhattisgarh,DURG,Bahujan Samaj Party,DILIP RAMTEKE,,,,
1271,Chhattisgarh,DURG,Independent,BHAGBALI SIVARE,,,,
1272,Chhattisgarh,DURG,Independent,DHRUV KUMAR SONI URF LANGUR SONI,,,,
1273,Chhattisgarh,DURG,Independent,SANTOSH KUMAR MARKANDE,,,,
1274,Chhattisgarh,DURG,Lokshahi Ekta Party,VIKAS SHARMA,,,,
1275,Chhattisgarh,DURG,Aazad Samaj Party (Kanshi Ram),SHITKARAN MAHILWAR,,,,
1276,Chhattisgarh,DURG,Ambedkarite Party of India,PUSHPA MAIRISHA,,,,
1277,Chhattisgarh,DURG,Independent,ANOOP KUMAR PANDEY,,,,
1278,Chhattisgarh,DURG,Ekam Sanatan Bharat Dal,DR. ANJU KEME,,,,
1279,Chhattisgarh,DURG,Independent,KHILANAND JASPAL,,,,
1280,Chhattisgarh,DURG,Nyaydharmsabha,RAKESH SAHU,,,,
1281,Chhattisgarh,DURG,Independent,ARUN JOSHI,,,,
1282,Chhattisgarh,DURG,Independent,BHANUPRATAP CHATURVEDI,,,,
1283,Chhattisgarh,DURG,Gondvana Gantantra Party,SHANKAR THAKUR,,,,
1284,Chhattisgarh,DURG,Rashtriya Jansabha Party,SUKHADEV TANDON,,,,
1285,Chhattisgarh,DURG,Indian National Congress,RAJENDRA SAHU,,,,
1286,Chhattisgarh,DURG,Bhartiya Shakti Chetna Party,YASHWANT SITARAM SAHU,,,,
1287,Chhattisgarh,DURG,Independent,ASHOK JAIN,,,,
1288,Chhattisgarh,DURG,Independent,BALDEV SAHU,,,,
1289,Chhattisgarh,DURG,Shakti Sena (Bharat Desh),SAVITA SHAILENDRA BANJARE,,,,
1290,Chhattisgarh,DURG,Independent,DR. HARISHCHANDRA SAHU,,,,
1291,Chhattisgarh,DURG,Loktantra Congress Party,SHYAM SUNDER SAHU,,,,
1292,Chhattisgarh,RAIPUR,Independent,ENGI. BHANU PRATAP TANDE,,,,
1293,Chhattisgarh,RAIPUR,Republican Party of India (A),HIRA NAND NAGWANI (ASHOK BHAIYA),,,,
1294,Chhattisgarh,RAIPUR,Ambedkarite Party of India,YASHUTOSH LAHARE,,,,
1295,Chhattisgarh,RAIPUR,Aap Sabki Apni Party,ASHISH KUMAR TIWARI,,,,
1296,Chhattisgarh,RAIPUR,Independent,VINAYAK DHAMGAYE,,,,
1297,Chhattisgarh,RAIPUR,Indian National Congress,VIKAS UPADHYAY,,,,
1298,Chhattisgarh,RAIPUR,Gondvana Gantantra Party,ENGI. LAL BAHADUR YADAV,,,,
1299,Chhattisgarh,RAIPUR,Bharatiya Bahujan Congress,BHANJAN JANGADE (ADHIWAKTA),,,,
1300,Chhattisgarh,RAIPUR,Independent,DR. OMPRAKASH SAHU,,,,
1301,Chhattisgarh,RAIPUR,Bhrashtachar Mukti Morcha,MO. AMIN,,,,
1302,Chhattisgarh,RAIPUR,Aazad Samaj Party (Kanshi Ram),PITAMBAR JANGDE,,,,
1303,Chhattisgarh,RAIPUR,Independent,RAMKRISHNA VERMA,,,,
1304,Chhattisgarh,RAIPUR,Bharatiya Janata Party,BRIJMOHAN AGRAWAL,,,,
1305,Chhattisgarh,RAIPUR,Bahujan Samaj Party,MAMTA RANI SAHU,,,,
1306,Chhattisgarh,RAIPUR,Hamar Raj Party,SURESH KUMAR NETAM,,,,
1307,Chhattisgarh,RAIPUR,Independent,AMARNATH CHANDRAKAR,,,,
1308,Chhattisgarh,RAIPUR,Independent,NANDNI NAYAK,,,,
1309,Chhattisgarh,RAIPUR,Right to Recall Party,ANIL MAHOBIA,,,,
1310,Chhattisgarh,RAIPUR,Independent,RADHESHWARI GAIKWAD,,,,
1311,Chhattisgarh,RAIPUR,Independent,SUDHANSHU BHUSHAN,,,,
1312,Chhattisgarh,RAIPUR,Independent,MANOJ VERMA,,,,
1313,Chhattisgarh,RAIPUR,Bhartiya Shakti Chetna Party,DAYA SHANKER NISHAD,,,,
1314,Chhattisgarh,RAIPUR,Independent,PRAVIN JAIN,,,,
1315,Chhattisgarh,RAIPUR,Independent,MO. IMRAN KHAN,,,,
1316,Chhattisgarh,RAIPUR,Independent,MO. NASIR,,,,
1317,Chhattisgarh,RAIPUR,Independent,SAYED IRSHAD,,,,
1318,Chhattisgarh,RAIPUR,Independent,BODHAN LAL FARIKAR,,,,
1319,Chhattisgarh,RAIPUR,Independent,RAJESH DHRUV,,,,
1320,Chhattisgarh,RAIPUR,Dhoom Sena,NEERAJ SAINI PUJARI,,,,
1321,Chhattisgarh,RAIPUR,Independent,NURI KHAN,,,,
1322,Chhattisgarh,RAIPUR,Independent,ROHIT KUMAR PATIL,,,,
1323,Chhattisgarh,RAIPUR,Sunder Samaj Party,PILARAM ANANT,,,,
1324,Chhattisgarh,RAIPUR,Independent,YAKUB KHAN,,,,
1325,Chhattisgarh,RAIPUR,Independent,PRAVISHANT SALOMAN,,,,
1326,Chhattisgarh,RAIPUR,Independent,RAMPRASAD PRAJAPATI,,,,
1327,Chhattisgarh,RAIPUR,Socialist Unity Centre Of India (COMMUNIST),VISHWAJIT HARODE,,,,
1328,Chhattisgarh,RAIPUR,Rashtriya Jansabha Party,LAKHAMOO RAM TANDON,,,,
1329,Chhattisgarh,RAIPUR,Shakti Sena (Bharat Desh),SAVITA SHAILENDRA BANJARE,,,,
1330,Chhattisgarh,MAHASAMUND,Independent,MAHESH SWARN,,,,
1331,Chhattisgarh,MAHASAMUND,Hamar Raj Party,GANESH RAM DHRUW,,,,
1332,Chhattisgarh,MAHASAMUND,Gondvana Gantantra Party,FARID QURAISHI,,,,
1333,Chhattisgarh,MAHASAMUND,Sunder Samaj Party,NITESH KUMAR RATRE,,,,
1334,Chhattisgarh,MAHASAMUND,Independent,MUKESH KUMAR AGRAWAL,,,,
1335,Chhattisgarh,MAHASAMUND,Independent,SANTOSH DARCHAND BANJARE,,,,
1336,Chhattisgarh,MAHASAMUND,Indian National Congress,TAMRADHWAJ SAHU,,,,
1337,Chhattisgarh,MAHASAMUND,Right to Recall Party,CHAMPA LAL PATEL GURUJI DHARTI PAKD,,,,
1338,Chhattisgarh,MAHASAMUND,Bahujan Samaj Party,BASANT SINHA,,,,
1339,Chhattisgarh,MAHASAMUND,Bharatiya Janata Party,ROOP KUMARI CHOUDHARY,,,,
1340,Chhattisgarh,MAHASAMUND,Independent,SUKHNANDAN  DESHKAR,,,,
1341,Chhattisgarh,MAHASAMUND,Independent,PROFESSOR SURESH SAHU,,,,
1342,Chhattisgarh,MAHASAMUND,Bhartiya Shakti Chetna Party,DR. VIRENDRA CHAUDHRI,,,,
1343,Chhattisgarh,MAHASAMUND,Independent,REKHRAM BAGH,,,,
1344,Chhattisgarh,MAHASAMUND,Independent,KALIYA PRASAD SETH,,,,
1345,Chhattisgarh,MAHASAMUND,Independent,ISHWAR MARKANDE,,,,
1346,Chhattisgarh,MAHASAMUND,Shakti Sena (Bharat Desh),NARAD PRASAD NISHAD,,,,
1347,Chhattisgarh,BASTAR,Bharatiya Janata Party,MAHESH KASHYAP,,,,
1348,Chhattisgarh,BASTAR,Independent,PRAKASH KUMAR GOTA,,,,
1349,Chhattisgarh,BASTAR,Azad Janata Party,JAGDISH NAG,,,,
1350,Chhattisgarh,BASTAR,Gondvana Gantantra Party,TIKAM NAGWANSHI,,,,
1351,Chhattisgarh,BASTAR,Indian National Congress,KAWASI LAKHMA,,,,
1352,Chhattisgarh,BASTAR,Independent,SUNDAR BAGHEL,,,,
1353,Chhattisgarh,BASTAR,Sarv Adi Dal,SHIVRAM NAG,,,,
1354,Chhattisgarh,BASTAR,Hamar Raj Party,NARENDRA BURKA,,,,
1355,Chhattisgarh,BASTAR,Bahujan Samaj Party,AYTU RAM MANDAVI,,,,
1356,Chhattisgarh,BASTAR,Rashtriya Jansabha Party,KANWAL SINGH BAGHEL,,,,
1357,Chhattisgarh,BASTAR,Communist Party of India,PHULSINGH KACHLAM,,,,
1358,Chhattisgarh,KANKER,Bahujan Samaj Party,TILAK RAM MARKAM,,,,
1359,Chhattisgarh,KANKER,Sarv Adi Dal,JIVAN LAL MATLAM,,,,
1360,Chhattisgarh,KANKER,Gondvana Gantantra Party,SUKCHAND NETAM,,,,
1361,Chhattisgarh,KANKER,Bhartiya Shakti Chetna Party,THAKESH MAHLA,,,,
1362,Chhattisgarh,KANKER,Indian National Congress,BIRESH THAKUR,,,,
1363,Chhattisgarh,KANKER,Bharatiya Janata Party,BHOJRAJ NAG,,,,
1364,Chhattisgarh,KANKER,Rashtriya Jansabha Party,BHOJRAM MANDAVI,,,,
1365,Chhattisgarh,KANKER,Hamar Raj Party,VINOD NAGWANSHI,,,,
1366,Chhattisgarh,KANKER,Ambedkarite Party of India,SONSINGH,,,,
1367,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Bharatiya Janata Party,LALUBHAI BABUBHAI PATEL,,,,
1368,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Independent,PATEL UMESHBHAI BABU,,,,
1369,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Independent,IDRISH G MULLA,,,,
1370,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Independent,PATEL UMESHBHAI BABUBHAI,,,,
1371,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Independent,SAKIL LATIF KHAN,,,,
1372,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Indian National Congress,KETAN DAHYABHAI PATEL,,,,
1373,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,Navsarjan Bharat Party,UMESH PATEL,,,,
1374,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,Indian National Congress,AJIT RAMJIBHAI MAHALA,,,,
1375,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,Independent,SHAILESHBHAI VARTHA,,,,
1376,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,Bharatiya Janata Party,DELKAR KALABEN MOHANBHAI,,,,
1377,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,Bahujan Samaj Party,BORSA SANDIPBHAI S,,,,
1378,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,Bharat Adivasi Party,KURADA DEEPAKBHAI,,,,
1379,Goa,North Goa,Independent,SHAKEEL JAMAL SHAIKH,,,,
1380,Goa,North Goa,Indian National Congress,RAMAKANT KHALAP,,,,
1381,Goa,North Goa,Bahujan Samaj Party,MILAN R VAINGANKAR,,,,
1382,Goa,North Goa,Independent,THOMAS AUGUSTINE FERNANDES,,,,
1383,Goa,North Goa,Revolutionary Goans Party,TUKARAM BHARAT PARAB,,,,
1384,Goa,North Goa,Akhil Bhartiya Parivar Party,MR SAKHARAM NAIK,,,,
1385,Goa,North Goa,Bharatiya Janata Party,SHRIPAD YESSO NAIK,,,,
1386,Goa,North Goa,Independent,ADV VISHAL NAIK,,,,
1387,Goa,South Goa,Independent,DEEPKUMAR D MAPARI,,,,
1388,Goa,South Goa,Corruption Abolition Party,HARISHCHANDRA SUDHAKAR NAIK,,,,
1389,Goa,South Goa,Bahujan Samaj Party,DR SWETA GAONKAR,,,,
1390,Goa,South Goa,Bharatiya Janata Party,PALLAVI SHRINIVAS DEMPO,,,,
1391,Goa,South Goa,Independent,ALEXY FERNANDES,,,,
1392,Goa,South Goa,Indian National Congress,CAPTAIN  VIRIATO FERNANDES,,,,
1393,Goa,South Goa,Revolutionary Goans Party,RUBERT PEREIRA,,,,
1394,Goa,South Goa,Independent,DR KALIDAS VAINGANKAR,,,,
1395,Gujarat,Kachchh,Hindvi Swarajyay Dal,SHAMLIA VIRJI CHAKU,,,,
1396,Gujarat,Kachchh,Independent,KAVITABEN DINESHBHAI MACHCHHOYA,,,,
1397,Gujarat,Kachchh,Rashtriya Power Party,DEVABHAI MITHABHAI GOHIL,,,,
1398,Gujarat,Kachchh,Right to Recall Party,RAMJIBHAI JAKHUBHAI DAFDA,,,,
1399,Gujarat,Kachchh,Gujarat Sarva Samaj Party,ARVIND ASHOK SANGHELA,,,,
1400,Gujarat,Kachchh,Independent,BABULAL LADHA CHAVDA,,,,
1401,Gujarat,Kachchh,Sarva Samaj Janata Party,BOCHIYA BHIMJI BHIKHA,,,,
1402,Gujarat,Kachchh,Independent,VANAZARA HIRABEN DALPATBHAI,,,,
1403,Gujarat,Kachchh,Bahujan Samaj Party,VIJAY BHACHRA,,,,
1404,Gujarat,Kachchh,Bharatiya Janata Party,CHAVDA VINOD LAKHAMSHI,,,,
1405,Gujarat,Kachchh,Indian National Congress,NITESH PARBATBHAI LALAN (MATANG),,,,
1406,Gujarat,Banaskantha,Independent,CHETANKUMAR KESHAVLAL OZA,,,,
1407,Gujarat,Banaskantha,Swatantrata Abhivyakti Party,PRAVINBHAI ISHVARBHAI CHAUHAN,,,,
1408,Gujarat,Banaskantha,Independent,RATHOD MAVJI BHEMAJI,,,,
1409,Gujarat,Banaskantha,Bharatiya Janata Party,DR. REKHABEN HITESHBHAI CHAUDHARI,,,,
1410,Gujarat,Banaskantha,Independent,BAJAG LASHABHAI LAVAJIBHAI,,,,
1411,Gujarat,Banaskantha,Bharatiya Yuva Jan Ekta Party,PATEL PIYUSHBHAI KARSHANBHAI,,,,
1412,Gujarat,Banaskantha,Independent,IBRAHIMBHAI PARASANI,,,,
1413,Gujarat,Banaskantha,Bharat Adivasi Party,JASUBHAI GAMAR,,,,
1414,Gujarat,Banaskantha,Indian National Congress,GENIBEN NAGAJI THAKOR,,,,
1415,Gujarat,Banaskantha,Independent,SHRIMALI ASHOKBHAI BALCHANDBHAI,,,,
1416,Gujarat,Banaskantha,Independent,PARMAR CHHAGANCHANDRARAJ,,,,
1417,Gujarat,Banaskantha,Bahujan Samaj Party,MANSUNGBHAI MASHRUBHAI PARMAR,,,,
1418,Gujarat,Patan,Rashtriya Samaj Paksha,SHARMA RAKESHBHAI,,,,
1419,Gujarat,Patan,Independent,ABDULKUDDUS,,,,
1420,Gujarat,Patan,Independent,ABDULHAQ ISMAIL NEDARIYA,,,,
1421,Gujarat,Patan,Social Democratic Party Of India,GHAGHA MASIHULLAH ABDULHAMID,,,,
1422,Gujarat,Patan,Bharatiya Janata Party,DABHI  BHARATSINHJI  SHANKARJI,,,,
1423,Gujarat,Patan,Independent,THAKOR KISHANBHAI KALUBHAI,,,,
1424,Gujarat,Patan,Independent,CHANDURA DHANJIBHAI LAXAMANBHAI,,,,
1425,Gujarat,Patan,Indian National Congress,CHANDANJI TALAJI THAKOR,,,,
1426,Gujarat,Patan,Bahujan Samaj Party,BALVANT CHHATRALIYA,,,,
1427,Gujarat,Patan,Independent,SOYAB HASAM BHORANIYA,,,,
1428,Gujarat,Mahesana,Independent,PATEL MANUBHAI SHANKARLAL,,,,
1429,Gujarat,Mahesana,Akhila Vijaya Party,CHAUHAN PRAKASHKUMAR TRIBHOVANDAS,,,,
1430,Gujarat,Mahesana,Rashtra Nirman Party,ZALA VIKRAMSINH BANESINH,,,,
1431,Gujarat,Mahesana,Bahujan Samaj Party,AMRUTLAL MAKWANA,,,,
1432,Gujarat,Mahesana,Indian National Congress,RAMJI THAKOR,,,,
1433,Gujarat,Mahesana,Bharatiya Janata Party,HARIBHAI PATEL,,,,
1434,Gujarat,Sabarkantha,Independent,MUSTAKBHAI JAMALBHAI SANGHANI,,,,
1435,Gujarat,Sabarkantha,Bahujan Samaj Party,PARMAR RAMESHCHANDRA NANJIBHAI,,,,
1436,Gujarat,Sabarkantha,Independent,BHAVNABA NARENDRASINH PARMAR,,,,
1437,Gujarat,Sabarkantha,Gunj Satya Ni Janata Party,KATARA VARUNKUMAR KALYANSINH,,,,
1438,Gujarat,Sabarkantha,Bharatiya Janata Party,SHOBHANABEN MAHENDRASINH BARAIYA,,,,
1439,Gujarat,Sabarkantha,Log Party,ANILKUMAR NIRANJANKUMAR MUNDADA,,,,
1440,Gujarat,Sabarkantha,Insaniyat Party,THAKOR INDIRABEN JITENDRASINH,,,,
1441,Gujarat,Sabarkantha,Independent,VIJAYSINH NAVALSINH CHAUHAN,,,,
1442,Gujarat,Sabarkantha,Independent,ASHOK L VAGHELA,,,,
1443,Gujarat,Sabarkantha,Independent,KANUBHAI KHIMJIBHAI GADHAVI,,,,
1444,Gujarat,Sabarkantha,Independent,SOLANKI CHHAGANBHAI KEVLABHAI,,,,
1445,Gujarat,Sabarkantha,Bhartiya Jan Parishad,RAKESHSINH MAHOBATSINH ZALA,,,,
1446,Gujarat,Sabarkantha,Indian National Congress,CHAUDHARI TUSHAR AMARSINH,,,,
1447,Gujarat,Sabarkantha,Independent,PANDOR KAUSHIKKUMAR SHANKARBHAI,,,,
1448,Gujarat,Gandhinagar,Independent,MANSURI SUHANA,,,,
1449,Gujarat,Gandhinagar,Independent,UMADIYA ALIBHAI RAJABHAI,,,,
1450,Gujarat,Gandhinagar,Independent,BAGVAN BAHADURSHAH GULMOHAMMAD,,,,
1451,Gujarat,Gandhinagar,Prajatantra Aadhar Party,MAURYA SUMITRA DEVNARIAN,,,,
1452,Gujarat,Gandhinagar,Bharatiya Janata Party,AMIT SHAH,,,,
1453,Gujarat,Gandhinagar,Independent,MALEK MAKBUL SHAKIB,,,,
1454,Gujarat,Gandhinagar,Independent,PATHAN IMTIYAJKHAN,,,,
1455,Gujarat,Gandhinagar,Independent,SHAHNAWAZKHAN SULTANKHAN PATHAN,,,,
1456,Gujarat,Gandhinagar,Independent,NAVSADALAM IBRAHIMBHAI MALEK,,,,
