_id,State,Constituency,Party,Candidate Name,,,,
63,Andhra Pradesh,Visakhapatnam,Independent,LAGUDU. GOVINDA RAO,,,,
64,Andhra Pradesh,Visakhapatnam,Independent,KOLLI NAGA RAJU,,,,
65,Andhra Pradesh,Visakhapatnam,Independent,SHANKAR DEVARA YADAV,,,,
66,Andhra Pradesh,Visakhapatnam,Jai Maha Bharath Party,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),,,,
67,Andhra Pradesh,Visakhapatnam,Yuvajana Sramika Rythu Congress Party,JHANSI LAKSHMI. BOTCHA.,,,,
68,Andhra Pradesh,Visakhapatnam,Rashtriya Praja Congress  (Secular),V.N. SATYA NARAYANA,,,,
69,Andhra Pradesh,Visakhapatnam,Independent,G.A.N. ANAND,,,,
70,Andhra Pradesh,Visakhapatnam,Samajwadi Party,JALADI VIJAYA KUMARI,,,,
71,Andhra Pradesh,Visakhapatnam,Independent,VENU MADHAV KARRI,,,,
72,Andhra Pradesh,Visakhapatnam,Pyramid Party of India,P. SATYA VANI,,,,
73,Andhra Pradesh,Visakhapatnam,Republican Party of India (A),DR. GANAPATHI KONGARAPU.,,,,
74,Andhra Pradesh,Visakhapatnam,Independent,METTA RAMA RAO,,,,
75,Andhra Pradesh,Visakhapatnam,Bahujan Samaj Party,PEDAPENKI SIVA PRASADA RAO,,,,
76,Andhra Pradesh,Visakhapatnam,Bhartiya Rashtriya Dal,DURGA PRASAD. GUNTU,,,,
77,Andhra Pradesh,Visakhapatnam,Praja Shanthi Party,K.A. PAUL,,,,
78,Andhra Pradesh,Visakhapatnam,Independent,MALLA SRAVANI,,,,
79,Andhra Pradesh,Visakhapatnam,Indian National Congress,P. SATYA REDDY,,,,
80,Andhra Pradesh,Visakhapatnam,Navataram Party,GANDIKOTA RAJESH,,,,
81,Andhra Pradesh,Visakhapatnam,Independent,VADDI. HARI GANESH,,,,
82,Andhra Pradesh,Visakhapatnam,Praja Prasthanam Party,THOTA VENKATA SAI MUKUND,,,,
83,Andhra Pradesh,Visakhapatnam,Naba Bharata Nirmana Seva Party,CHINTADA SURYAM,,,,
